epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3398,1.71339,6.09425,1.25126,0,0,0,0,1.62819,6.06633,1.2817,1.242e-05,1.242e-05,1.242e-05
2,166.606,1.60154,6.04679,1.25153,0,0,0,0,1.57399,6.05726,1.25627,2.51287e-05,2.51287e-05,2.51287e-05
3,245.291,1.5584,5.99302,1.22041,0,0,0,0,1.56374,6.01753,1.25088,3.75809e-05,3.75809e-05,3.75809e-05
4,327.085,1.51457,5.95821,1.16801,0,0,0,0,1.51952,5.97139,1.24312,4.97764e-05,4.97764e-05,4.97764e-05
5,414.986,1.46366,5.90712,1.13623,0,0,0,0,1.44566,5.89945,1.22686,5.18616e-05,5.18616e-05,5.18616e-05
6,508.74,1.43551,5.8332,1.10108,0,0,0,0,1.40706,5.81673,1.2155,5.1327e-05,5.1327e-05,5.1327e-05
7,607.147,1.42857,5.75649,1.10656,0,0,0,0,1.40982,5.7281,1.21781,5.07924e-05,5.07924e-05,5.07924e-05
8,697.741,1.45677,5.71443,1.13693,0.00179,0.00556,0.00137,0.00117,1.41386,5.64354,1.20165,5.02578e-05,5.02578e-05,5.02578e-05
9,794.641,1.38969,5.64631,1.11771,0.00401,0.01021,0.00354,0.00271,1.4034,5.56325,1.19304,4.97232e-05,4.97232e-05,4.97232e-05
10,878.649,1.41065,5.55396,1.10057,0.01006,0.01261,0.00787,0.00552,1.38409,5.51004,1.19537,4.91886e-05,4.91886e-05,4.91886e-05
11,958.267,1.36445,5.50041,1.1008,0.01042,0.01551,0.00916,0.00686,1.3753,5.45673,1.1907,4.8654e-05,4.8654e-05,4.8654e-05
12,1037.6,1.40041,5.46775,1.10862,0.23865,0.00444,0.00773,0.00573,1.39445,5.41159,1.19129,4.81194e-05,4.81194e-05,4.81194e-05
13,1117.33,1.39416,5.38459,1.11351,0.2619,0.00444,0.00781,0.00589,1.42322,5.38815,1.19385,4.75848e-05,4.75848e-05,4.75848e-05
14,1207.98,1.39929,5.34083,1.11445,0.2727,0.00444,0.00776,0.00597,1.42492,5.36853,1.19333,4.70502e-05,4.70502e-05,4.70502e-05
15,1308.66,1.39371,5.2854,1.08011,0.29442,0.00444,0.00812,0.00632,1.40879,5.33269,1.18091,4.65156e-05,4.65156e-05,4.65156e-05
16,1394.64,1.38572,5.27012,1.08715,0.00389,0.03333,0.00805,0.00631,1.41695,5.30675,1.18763,4.5981e-05,4.5981e-05,4.5981e-05
17,1479.13,1.40899,5.22301,1.10258,0.00366,0.03447,0.00796,0.00628,1.42382,5.28751,1.18454,4.54464e-05,4.54464e-05,4.54464e-05
18,1565.7,1.3459,5.22422,1.09419,0.00395,0.03814,0.00835,0.00654,1.39359,5.26489,1.1741,4.49118e-05,4.49118e-05,4.49118e-05
19,1660.21,1.38261,5.17153,1.10537,0.00405,0.03927,0.00841,0.00665,1.39821,5.24707,1.18268,4.43772e-05,4.43772e-05,4.43772e-05
20,1746.41,1.35887,5.1619,1.09572,0.00394,0.04205,0.00864,0.00687,1.4087,5.23573,1.18629,4.38426e-05,4.38426e-05,4.38426e-05
21,1835.38,1.35456,5.08485,1.08883,0.00364,0.04159,0.00852,0.00676,1.41812,5.22649,1.18798,4.3308e-05,4.3308e-05,4.3308e-05
22,1936.88,1.35042,5.01188,1.08074,0.00397,0.04909,0.00896,0.00711,1.43111,5.19791,1.18743,4.27734e-05,4.27734e-05,4.27734e-05
23,2023.61,1.39168,5.07667,1.12119,0.00379,0.04909,0.00907,0.00729,1.40166,5.19003,1.18503,4.22388e-05,4.22388e-05,4.22388e-05
24,2114.77,1.34238,5.0323,1.0872,0.00384,0.05096,0.00922,0.00744,1.39369,5.16292,1.18592,4.17042e-05,4.17042e-05,4.17042e-05
25,2205.03,1.34311,4.94776,1.09998,0.00349,0.05066,0.00919,0.00742,1.38751,5.13558,1.18611,4.11696e-05,4.11696e-05,4.11696e-05
26,2291.97,1.39064,4.94661,1.11142,0.00362,0.05275,0.00953,0.00769,1.38397,5.1315,1.18725,4.0635e-05,4.0635e-05,4.0635e-05
27,2378.79,1.35667,4.9637,1.09721,0.00361,0.05275,0.00958,0.00772,1.38648,5.13085,1.18633,4.01004e-05,4.01004e-05,4.01004e-05
28,2464.94,1.36869,4.88058,1.10661,0.28261,0.01616,0.00974,0.00786,1.41515,5.11352,1.19588,3.95658e-05,3.95658e-05,3.95658e-05
29,2551.23,1.37146,4.87265,1.12051,0.00537,0.05812,0.01186,0.00876,1.3861,5.09831,1.19032,3.90312e-05,3.90312e-05,3.90312e-05
30,2639,1.35662,4.80402,1.11862,0.00529,0.05442,0.01227,0.00915,1.37609,5.06723,1.18732,3.84966e-05,3.84966e-05,3.84966e-05
31,2725.25,1.32333,4.8434,1.08623,0.28276,0.02412,0.01285,0.00949,1.35958,5.05529,1.18357,3.7962e-05,3.7962e-05,3.7962e-05
32,2809.48,1.34915,4.79509,1.08335,0.34218,0.01185,0.01308,0.00969,1.37135,5.04903,1.18414,3.74274e-05,3.74274e-05,3.74274e-05
33,2890.11,1.33153,4.75075,1.07151,0.35043,0.01443,0.01334,0.00989,1.3951,5.02818,1.18798,3.68928e-05,3.68928e-05,3.68928e-05
34,2970.73,1.35971,4.7335,1.06161,0.38591,0.01289,0.01279,0.00963,1.41089,5.01513,1.1894,3.63582e-05,3.63582e-05,3.63582e-05
35,3051.12,1.36927,4.74302,1.11099,0.38694,0.01324,0.01376,0.0101,1.39617,4.98466,1.18773,3.58236e-05,3.58236e-05,3.58236e-05
36,3132.19,1.28621,4.5542,1.07042,0.38706,0.01225,0.01346,0.00962,1.38389,4.94955,1.18819,3.5289e-05,3.5289e-05,3.5289e-05
37,3212.83,1.3945,4.6554,1.11228,0.39881,0.01148,0.01293,0.00957,1.37872,4.93703,1.18787,3.47544e-05,3.47544e-05,3.47544e-05
38,3293.7,1.35694,4.70705,1.06593,0.39906,0.0116,0.01328,0.00982,1.37482,4.93546,1.18269,3.42198e-05,3.42198e-05,3.42198e-05
39,3374.18,1.35743,4.6838,1.0735,0.40035,0.01068,0.01316,0.00975,1.39106,4.92693,1.18403,3.36852e-05,3.36852e-05,3.36852e-05
40,3456.67,1.35543,4.62488,1.10588,0.40017,0.01028,0.0134,0.01003,1.39313,4.9181,1.18602,3.31506e-05,3.31506e-05,3.31506e-05
41,3539.27,1.32614,4.58334,1.09149,0.40376,0.0106,0.01369,0.00991,1.38555,4.89759,1.18495,3.2616e-05,3.2616e-05,3.2616e-05
42,3622.04,1.33707,4.55986,1.08828,0.41608,0.01021,0.01378,0.01008,1.38543,4.88985,1.1876,3.20814e-05,3.20814e-05,3.20814e-05
43,3703.83,1.30298,4.54694,1.11586,0.40523,0.01014,0.01423,0.01061,1.38765,4.86808,1.19233,3.15468e-05,3.15468e-05,3.15468e-05
44,3794.97,1.30554,4.48119,1.07967,0.41742,0.01054,0.01404,0.01073,1.37372,4.85325,1.18424,3.10122e-05,3.10122e-05,3.10122e-05
45,3877.88,1.33929,4.51995,1.0944,0.41627,0.01037,0.01404,0.01086,1.37067,4.8425,1.18181,3.04776e-05,3.04776e-05,3.04776e-05
46,3960.52,1.29133,4.43439,1.07226,0.4047,0.0104,0.01447,0.01141,1.37992,4.84135,1.19192,2.9943e-05,2.9943e-05,2.9943e-05
47,4041.28,1.37171,4.51744,1.08971,0.4046,0.0104,0.01435,0.01132,1.37889,4.81668,1.19214,2.94084e-05,2.94084e-05,2.94084e-05
48,4124.37,1.31981,4.46633,1.08525,0.40506,0.01034,0.01464,0.0115,1.36858,4.7996,1.18517,2.88738e-05,2.88738e-05,2.88738e-05
49,4205.43,1.345,4.49084,1.0842,0.40504,0.0104,0.01477,0.01158,1.36158,4.79114,1.17914,2.83392e-05,2.83392e-05,2.83392e-05
50,4286.17,1.32181,4.44219,1.06926,0.41585,0.00946,0.01503,0.0118,1.36679,4.77879,1.17787,2.78046e-05,2.78046e-05,2.78046e-05
51,4368.37,1.37322,4.44212,1.1206,0.42791,0.0107,0.01527,0.01204,1.37549,4.75618,1.17687,2.727e-05,2.727e-05,2.727e-05
52,4449.36,1.30159,4.41291,1.05453,0.41733,0.0108,0.01566,0.01241,1.37116,4.76235,1.17914,2.67354e-05,2.67354e-05,2.67354e-05
53,4530.39,1.33866,4.40164,1.07752,0.42642,0.01086,0.01593,0.01245,1.3656,4.753,1.17622,2.62008e-05,2.62008e-05,2.62008e-05
54,4614.22,1.3145,4.37,1.06959,0.46161,0.01173,0.0166,0.01312,1.36891,4.72395,1.17349,2.56662e-05,2.56662e-05,2.56662e-05
55,4695.29,1.32992,4.35018,1.09526,0.46241,0.01166,0.01688,0.01326,1.35918,4.71503,1.17119,2.51316e-05,2.51316e-05,2.51316e-05
