epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.8652,1.61113,4.96964,1.16808,0.11361,0.01974,0.00414,0.00224,1.85755,4.67315,1.50365,0.0793,0.0023,0.0023
2,183.846,1.60791,3.77464,1.18997,0.0122,0.00113,0.00058,0.00034,2.30907,55.0738,2.87033,0.0575965,0.00459648,0.00459648
3,278.569,1.57615,3.54006,1.21052,0,0,0,0,4.91418,10058.2,17.0444,0.0354898,0.00648981,0.00648981
4,370.777,1.52322,3.29998,1.20647,0,0,0,0,4.12217,1102.46,6.76797,0.0127378,0.00773778,0.00773778
5,463.682,1.41696,3.1923,1.15877,0.01114,0.00056,1e-05,0,4.05983,537.155,5.79413,0.00689058,0.00689058,0.00689058
6,548.943,1.37509,3.12941,1.15477,0.00385,0.05146,0.00518,0.00385,1.6508,10.0404,1.79163,0.0055,0.0055,0.0055
7,639.275,1.3798,3.07486,1.1724,0.00572,0.10143,0.01324,0.00953,1.64453,4.04732,1.50318,0.00410942,0.00410942,0.00410942
8,725.874,1.33248,2.98411,1.137,0.00658,0.11082,0.01738,0.0136,1.45284,3.96499,1.34848,0.00285497,0.00285497,0.00285497
9,812.621,1.3102,2.96912,1.13232,0.00734,0.13666,0.02257,0.01763,1.46295,3.9063,1.27513,0.00185942,0.00185942,0.00185942
10,898.541,1.26491,2.91962,1.11314,0.00763,0.14213,0.0248,0.02013,1.36071,3.88047,1.26073,0.00122025,0.00122025,0.00122025
