epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.294,1.63077,4.36754,1.18055,0.01222,0.00113,0.00629,0.0027,2.39311,3950.43,3.37048,0.0793,0.0023,0.0023
2,363.291,1.58924,3.4067,1.20196,4e-05,0.00058,2e-05,1e-05,4.44203,17118.8,20.3941,0.0575965,0.00459648,0.00459648
3,543.69,1.59781,3.32868,1.24392,0,0,0,0,4.65853,1.24831e+06,298.292,0.0354898,0.00648981,0.00648981
4,727.871,1.58531,3.20398,1.20961,0,0,0,0,5.2685,588699,210.37,0.0127378,0.00773778,0.00773778
5,910.972,1.49947,3.08142,1.17528,0,0,0,0,4.82626,14945.3,23.0428,0.00689058,0.00689058,0.00689058
6,1098.73,1.4344,2.96322,1.16864,0.00729,0.02921,0.01031,0.00546,2.1782,124.801,2.66588,0.0055,0.0055,0.0055
7,1280.05,1.37987,2.85014,1.17172,0.00944,0.07608,0.03205,0.02172,2.25313,7.54737,2.48475,0.00410942,0.00410942,0.00410942
8,1456.31,1.35348,2.75275,1.14113,0.42303,0.05436,0.03325,0.02544,1.58942,5.686,1.58871,0.00285497,0.00285497,0.00285497
9,1632.14,1.31561,2.71163,1.13358,0.37683,0.06833,0.03364,0.02601,1.49355,3.64021,1.37468,0.00185942,0.00185942,0.00185942
10,1808.94,1.28443,2.67331,1.11802,0.31912,0.08782,0.03234,0.02534,1.43477,3.74462,1.26898,0.00122025,0.00122025,0.00122025
